source_path	classification	destination	sha256	rationale
.env.example	transform	.env.example	0b2e563c2b51166230dbacca40f64d3725a5194e016440ae5509cfd213017e3f	safe template rewritten for clean Next.js bootstrap
.gitignore	transform	.gitignore	7598c6ef81962f6ae0f9cdc591279c400c16e6c097d67fd8279f6fe70101cb5e	safe template rewritten for clean Next.js bootstrap
.node-version	retain	.node-version	55075b5ec4e8b31936cbbc282b8829116d1fd48f2f2f1856dee592a6650700ce	immutable baseline retained byte-for-byte
.npmrc	retain	.npmrc	da1e4d99f86ae502288effa20341d7e092678071d296c61b652ec8a04e2f9d98	immutable baseline retained byte-for-byte
.prettierignore	transform	.prettierignore	acd2de89aafaa57d31a686ecf551d86535acbbcb90db54c275b6f7066fd3f47a	safe template rewritten for clean Next.js bootstrap
.prettierrc.json	retain	.prettierrc.json	ebe733191f06a29fdd34a4683327d9a36c008ed8da564d8e7def1c700d7463ff	immutable baseline retained byte-for-byte
.vercelignore	transform	.vercelignore	898139e8eaad3ff90acb2deda04413ec716ad8a21a42d3197938318e6bc42980	safe template rewritten for clean Next.js bootstrap
PRODUCT.md	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:PRODUCT.md	db51c3a8d6d04fae248f3f974b508b8089cbc6b0b80ade81b569d549235ca356	rejected application, test, fixture, API, visual, or governance evidence
README.md	transform	README.md	8f27e848216181a6398adff0bf6745cafb551faf61daf4c8cd32e61888e24ab8	safe template rewritten for clean Next.js bootstrap
api/_lib/admin-auth.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/admin-auth.ts	aacc662b88d35d486843606a11a0da6c650a22ab3bc5cc2db5b71fb6efb8dc49	rejected application, test, fixture, API, visual, or governance evidence
api/_lib/blob-store.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/blob-store.ts	fff0935ca451a6a523778b8abfe3e4aeb94bbebea7d8468a1449c14840012315	rejected application, test, fixture, API, visual, or governance evidence
api/_lib/http.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/http.ts	1b7ad3c39109217ce5d59cb31b43e8e8ea8acc3832fad06c1f64ffae5c2267f1	rejected application, test, fixture, API, visual, or governance evidence
api/_lib/safe-error.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/safe-error.ts	99ae3d8d188852c5ec60d5825c414ba9e247f5645148fc1a041b5672dd2d505a	rejected application, test, fixture, API, visual, or governance evidence
api/_lib/server-env.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/server-env.ts	63cef0b662130498f6662c3e816366ae69828aca338f4d965d5db33ae9a15479	rejected application, test, fixture, API, visual, or governance evidence
api/_lib/word-list-publication-store.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/word-list-publication-store.ts	398bf43b9a90f3812273fc6aec0da7375c78e2911f7926febbf77d405650c672	rejected application, test, fixture, API, visual, or governance evidence
api/_lib/word-list-refresh.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/_lib/word-list-refresh.ts	9c1815731806a121c24e9ce32e46d47ae123de6b2c065261f21cfc6395793145	rejected application, test, fixture, API, visual, or governance evidence
api/admin-refresh.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/admin-refresh.ts	39bb2626400b2130c9df566778eecee3ae8ef2c552c0e72ffc4972e98c841919	rejected application, test, fixture, API, visual, or governance evidence
api/cron/refresh-word-lists.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/cron/refresh-word-lists.ts	70e4126c97120338546a4e748f228b7d7f41db96c28febf0eb66a4c0948f6c9e	rejected application, test, fixture, API, visual, or governance evidence
api/word-lists/manifest.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:api/word-lists/manifest.ts	90432d1f05645dd988c8ba4ec3dd739c917a06e8d4c7e1927c61f674e7aa0e3f	rejected application, test, fixture, API, visual, or governance evidence
eslint.config.js	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:eslint.config.js	c9a85c296a5f18b3d282c7122da65323ba44ebe53a0e198091ab59e408abd5e1	obsolete application/build machinery; recovery only
index.html	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:index.html	d7fed5ca56e84535a79fe8d7f2749027b51d0695180852d2347beaea682b3940	obsolete application/build machinery; recovery only
package.json	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:package.json	6f95665ea2998ac5066d46cbda71808762fff0095e3c21c3678bb5f5f7a6f948	obsolete application/build machinery; recovery only
planning/greenfield/AMORDLE-TERMINAL-GREENFIELD-INTAKE-2026-07-26.md	transform	bootstrap/PRODUCT-BRIEF.md;bootstrap/DECISION-LEDGER.md	257d5185498ed56113701bdd3c91528bd58bdce89ac5b12761cc77d4bea275a6	accepted decisions distilled; historical path retired
planning/product/AMORDLE-LICHESS-OF-WORDLE-IMPROVEMENT-BRIEF-2026-07-26.md	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:planning/product/AMORDLE-LICHESS-OF-WORDLE-IMPROVEMENT-BRIEF-2026-07-26.md	757bb6bfdd7cf13c0eb965e1f4cb0d611581736389586f3d570bd3211c311788	rejected application, test, fixture, API, visual, or governance evidence
playwright.config.ts	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:playwright.config.ts	b80e744d0e12db20c90c7c83f14f46571294800a552eb8d926fbf5e7ba15468b	obsolete application/build machinery; recovery only
pnpm-lock.yaml	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:pnpm-lock.yaml	10a2830c3ccabadc770c7d25492baafeb681aa66305a458bd5c9c39d7af47bb5	obsolete application/build machinery; recovery only
pnpm-workspace.yaml	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:pnpm-workspace.yaml	5395964a463c9c051cf7f3d132eaaeeba20a822d0a06bc0a457cebcfd829b8c8	obsolete application/build machinery; recovery only
public/assets/atmosphere-desktop.webp	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:public/assets/atmosphere-desktop.webp	f3d1ae50ac5673bd673a99a8114e0ebb69eee3238f0e5c1e75a6ece9b6934aa9	rejected application, test, fixture, API, visual, or governance evidence
public/assets/atmosphere-mobile.webp	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:public/assets/atmosphere-mobile.webp	701351cee9707a6c199c7d131c1bfd23fb232f0fe3f44edf87ccba610ebedcd3	rejected application, test, fixture, API, visual, or governance evidence
public/favicon.svg	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:public/favicon.svg	4cdaa58a38e102db47c6099ad9bc3c3b35b4a9ac2cce495287e7c6f5c2d1e7f1	rejected application, test, fixture, API, visual, or governance evidence
public/icon-192.png	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:public/icon-192.png	df1d8b9a24474b99d25d81021e134b58f291ad5ff8224a24c64b2ce0624594a6	rejected application, test, fixture, API, visual, or governance evidence
public/icon-512.png	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:public/icon-512.png	3210befdc671e8dc18d26b642d63d45770aa8cd03639d09739752305f30e8c9a	rejected application, test, fixture, API, visual, or governance evidence
